;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
664;613;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;1;;40;;1;2;- Простите, вы кому звоните?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
665;614;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;40;удивленно;1;;2;0;- Александру Васильевичу, снабжение! А вы кто?;нет;-;RS3_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS3_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
666;615;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;1;;40;;2;1;- Я – начальник отдела анализа, набирайте номер внимательно!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
667;616;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;1;;40;;2;2;- Я – Федоров, и точно не Александр Васильевич;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
668;617;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;40;умоляюще;1;;3;0;- Ой, любезный, а вы можете меня на снабжение переключить? Очень вас прошу – я уже два часа на телефоне. Невозможно дозвониться – все номера подряд набираю от безысходности! ;нет;-;RS3_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS3_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
669;618;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;1;;40;;3;1;- Простите, не могу. ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
670;619;RS3;ЗВОНОК ОТ НЕИЗВЕСТНОЙ ПО ОШИБКЕ;;;1;;40;;3;2;- Хорошо, переключаю. ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
671;;RST4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;12:30;;16;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
672;;RST4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;1;1;Ответить;да;RS4;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
673;;RST4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;1;2;Не ответить;да;T;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
674;620;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;16;безапелляционно;1;;1;0;- Семенова, отдел кадров. Вы на месте? Я к вам сейчас с табелем подойду!;нет;-;RS4_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS4_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
675;621;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;1;1;- По какому вопросу? ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
676;622;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;1;2;- Нет-нет, я очень занят! ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;dialog;да
677;623;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;1;3;- Хорошо, подходите.  ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
678;624;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;16;безапелляционно;1;;2;0;- Я вам уже неделю звоню. Я обязана подписать у вас табель посещения рабочих мест сотрудниками вашего отдела. Регламент Вам известен. Вот ваша подпись на документе. ;нет;-;RS4_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS4_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
679;625;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;2;1;- Хорошо, подходите. ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
680;626;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;2;2;- Прошу вас, давайте в другое время. И согласуем его заранее. ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
681;627;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;2;3;- Вы правы, известен! Давайте согласуем время для вашего визита. Могу предложить понедельник через две недели. ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
682;628;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;16;безапелляционно;1;;3;0;- Знаете, я своему руководителю буду жаловаться, а она – вашему. У нас в компании сотни сотрудников находят время подписать важные документы, а вы регулярно нарушаете!;нет;-;RS4_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS4_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
683;629;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;3;1;- Ну что же – жалуйтесь, это ваше право! Времени от этого больше не станет! Сейчас я занят! ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
684;630;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;3;2;- Я тоже пожалуюсь своему руководителю на методы исполнения ваших процедур! Сказано же, я занят! ;да;MS50;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
685;631;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;3;3;- Странно, что вы не знаете порядка назначения встреч и являетесь, когда вам угодно! Сейчас я занят! ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
686;632;RS4;ЗВОНОК ИЗ ОТДЕЛА КАДРОВ;;;1;;16;;3;4;- Ладно, подходите, но быстро. ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;1;;;;;0;;;;;;dialog;да
687;;RST5;ЗВОНОК НАЧАЛЬНИКА АХО;14:30;;14;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
688;;RST5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;1;1;Ответить;да;RS5;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
689;;RST5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;1;2;Не ответить;да;T;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
690;633;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;14;неприятный;1;;1;0;- День добрый, АХО беспокоит.;нет;-;RS5_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS5_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
691;634;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;1;1;- Простите, а вы по какому вопросу?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
692;635;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;1;2;- Отлично, я как раз собирался вам звонить!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
693;636;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;14;неприятный;1;;2;0;- Прелюбопытно! К вам ремонтники мои приходили?  Вы почему их выгнали? Как же я вам прохладу к весне обеспечу? Бригада на этой неделе сворачивает свои работы у нас в офисе. Прошу обеспечить доступ к кондиционерам в ближайшее время!;нет;-;RS5_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS5_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
694;637;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;2;1;- Ремонт надо заранее согласовывать. У меня вот отпуск через два дня. Приходите и ремонтируйте все, что  угодно! ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
695;638;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;2;2;- Прошу вас согласовать свой ремонт с моим руководителем, она вам разъяснит, почему именно я ваших работников выгнал!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;dialog;да
696;639;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;1;;14;;2;3;- Да не выгонял я их! Сделали все.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
697;640;RS5;ЗВОНОК НАЧАЛЬНИКА АХО;;;14;неприятный;1;;3;0;- Хм…ну хорошо! ;да;T;RS5_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS5_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
698;;RST6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;14:50;;2;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
699;;RST6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;1;1;Ответить;да;RS6;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
700;;RST6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;1;2;Не ответить;да;T;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
701;641;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;2;деловито, приказным;1;;1;0;- Так, у меня срочная просьба! Открой-ка факт прошлого года и скажи мне, какова была доля производственных издержек в объеме продаж!  Что они мне голову морочат… ;нет;-;RS6_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS6_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
702;642;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;1;1;- Секундочку, Раиса Романовна! Открываю!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
703;643;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;1;2;- Раиса Романовна, так ведь у вас есть эти отчеты?!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
704;644;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;1;3;- Раиса Романовна, давайте я вам перешлю этот показатель!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;dialog;да
705;645;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;2;деловито, приказным;1;;2;0;- Давай-давай, открывай, не трать мое время! И новый бюджет посмотри… Какая там динамика от года к году? Открыл?;нет;-;RS6_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS6_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
706;646;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;2;1;- Да, открыл. Доля производственных издержек в объеме продаж в первом году была  сорок пять процентов.  Теперь мне надо открыть бюджет второго года  и посчитать динамику, вы подождете на телефоне?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
707;647;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;1;;2;;2;2;- Раиса Романовна, дайте мне немного времени. Через пять минут данные будут у вас в почте.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;dialog;да
708;648;RS6;ЗВОНОК ФИНДИРА ДЛЯ УТОЧНЕНИЯ ЦИФР ПРОШЛОГО ГОДА;;;2;деловито, приказным;1;;3;0;- Войдите! Ко мне посетитель…Перешли мне цифры! Я жду! ;да;T;RS6_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS6_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
709;;RST7;ЗВОНОК ЖЕНЫ ГЕРОЯ;15:25;;27;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
710;;RST7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;1;1;Ответить;да;RS7;-;;;Звонок;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
711;;RST7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;1;2;Не ответить;да;T;-;;;Звонок;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
712;649;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;27;ласково;1;;1;0;- Привет, милый! Хорошо, что ты на месте! ;нет;-;RS7_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS7_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
713;650;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;1;1;- Люба, извини, я не могу говорить! ;нет;-;нет;#N/A;;Разговор по телефону;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
714;651;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;1;2;- Люба, у тебя что-то срочное?;нет;-;нет;#N/A;;Разговор по телефону;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
715;652;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;1;3;- Я слушаю тебя, дорогая!;нет;-;нет;#N/A;;Разговор по телефону;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
716;653;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;27;умоляюще;1;;2;0;- Понимаешь, мне очень нужен совет, я никак не могу решить, что же лучше. Я уже полдня в магазине. И ничего стоящего нет... Но ведь без подарка не пойдешь... Я тут подобрала варианты, но никак не решусь. Ты ведь можешь пять минут мне уделить? Мне всего-то несколько слов от тебя нужно!;нет;-;RS7_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\RS7_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
717;654;RS7;ЗВОНОК ЖЕНЫ ГЕРОЯ;;;1;;27;;2;1;- Прости, пожалуйста, но сейчас никак не могу! Уверен, что ты выберешь очень хороший подарок! ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;dialog;да
